,AP Calculus BC,AP Computer Science Principles,AP Music Theory,AP Physics C,AP Statistics,AP US Government,Advanced Drama,Algebra 1,Algebra 2,Amercian Sign Language 3,American Sign Language 1,American Sign Language 2,American Sign Language 4,Art 1: Foundation,Art 2: Interm. 2-D Art,Art 3: Portfolio Preparation,Art 4: Portfolio Preparation,Biology,Black History of the United States,Book Arts 1,Chamber Choir,Chemistry,Chorus,Concert Choir,Dance Company,Digital Music Production: Mixing,Digital Music Production: Recording,Engineering & Design Thinking,English 10,English 11,English 12,English 6,English 7,English 8,English 9,Financial Mathematics,Geography,Geometry,Government Cabinet,HS Fitness,Health & Wellness A,Health & Wellness B,History 10,History 7,History 8,History 9,Honors Advanced Biology,Honors Advanced Chemistry,Honors Differential Equations,Honors History 10,Honors Latin: Vergil's Aeneid,Honors Linear Algebra,Honors Physics,Honors Spanish: Advanced Conversation and Literature,Honors US History Practicum,Human Biology,Instrument Ensemble,Intro to Drama,Jazz Choir,Jazz Ensemble,Latin 1,Latin 2,Latin 3,MS Arts 8: Dance,MS Arts 8: Drama,MS Arts: Chorus,MS Arts: Visual Arts,Marine Biology,Mathematical Problem Solving,Photography 1,Pre-Algebra,Pre-Calculus,Psychology,SELPH,SELPH 8,STEAM,Science 6: Earth Science,Science 7: Life Science,Science 8: Physical Science,Spanish 1,Spanish 2,Spanish 3,String Methods,Study Hall,US History,Yearbook
AP Calculus BC,11,4,0,5,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,7,3,0,0,0,0,1,0,0,1,2,1,8,1,0,0,0,2,0,0,1,1,0,2,4,7,6,0,0,0,1,0,0,2,0,0,0,0,6,0,3,0,0,4,0,0,0,0,0,0,0,0,1,0,0,7,1
AP Computer Science Principles,4,23,3,6,4,7,0,0,3,0,0,0,0,5,1,0,1,3,0,0,5,2,0,0,1,0,0,1,2,7,11,0,0,0,3,4,0,1,1,1,4,14,2,0,0,3,4,0,1,1,4,4,2,2,7,4,1,1,4,4,0,0,2,0,0,0,0,5,0,2,0,3,3,0,0,0,0,0,0,2,2,1,1,5,6,0
AP Music Theory,0,3,7,0,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,3,0,0,0,0,1,0,0,1,0,0,5,1,0,0,0,2,0,0,1,0,0,1,2,2,0,0,0,3,1,0,0,0,0,0,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,2,0,0,2,2,0
AP Physics C,5,6,0,9,1,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,4,5,0,0,0,0,2,0,0,0,2,0,7,0,0,0,0,1,0,1,0,3,3,0,0,4,3,0,1,1,2,0,0,1,0,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,2,4,1
AP Statistics,1,4,2,1,8,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,2,0,0,0,0,0,1,2,3,3,0,0,0,0,1,0,0,1,2,1,5,1,0,0,0,2,0,0,1,0,0,1,0,3,2,0,0,0,1,0,0,1,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,3,0
AP US Government,1,7,2,4,1,15,1,0,0,1,0,0,1,1,1,0,2,0,0,2,5,0,0,0,1,0,0,1,0,0,15,0,0,0,0,8,0,0,0,1,0,10,0,0,0,0,0,0,1,0,3,4,0,3,0,4,0,4,4,3,0,0,0,0,0,0,0,4,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0
Advanced Drama,1,0,0,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,2,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
Algebra 1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,9,1,0,0,1,0,0,0,0,0,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,9,0,3,0,0,0,0,0,0,3,9,0,0,3,9,0,0,2,2,4,0,0
Algebra 2,0,3,1,0,0,0,0,0,30,3,0,0,2,7,7,0,0,8,0,2,1,12,0,0,0,2,2,1,12,6,0,0,0,4,8,0,0,2,2,4,9,6,7,0,4,8,2,0,0,7,0,0,1,0,6,4,2,5,0,1,0,3,2,4,4,0,0,5,0,2,0,1,7,0,3,0,0,0,3,3,7,5,1,13,6,0
Amercian Sign Language 3,0,0,0,0,1,1,0,0,3,6,0,0,5,0,0,0,0,0,0,2,0,5,0,0,0,1,1,1,5,0,1,0,0,0,0,2,0,1,1,1,2,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
